account_code,account_name,parent_code,level,opening_balance,debit,credit,closing_balance,currency
1000,Cash and Cash Equivalents,0,1,60000.00,30000.00,20000.00,70000.00,USD
1100,Bank Account - Main,1000,2,45000.00,25000.00,15000.00,55000.00,USD
1200,Petty Cash,1000,2,550.00,250.00,200.00,600.00,USD
1250,Cash on Hand,1000,2,1000.00,500.00,300.00,1200.00,USD
2000,Accounts Receivable,0,1,100000.00,50000.00,35000.00,115000.00,USD
2100,Trade Receivables,2000,2,85000.00,45000.00,30000.00,100000.00,USD
2500,Receivables - Trade,2000,2,15000.00,8000.00,5000.00,18000.00,USD
3000,Inventory,0,1,135000.00,70000.00,60000.00,145000.00,USD
3100,Raw Materials Inventory,3000,2,50000.00,25000.00,20000.00,55000.00,USD
4000,Fixed Assets,0,1,505000.00,30000.00,25000.00,510000.00,USD
4150,Office-Equipment,4000,2,77000.00,8000.00,5000.00,80000.00,USD
4200,Computer Equipment,4000,2,25000.00,5000.00,2000.00,28000.00,USD
5000,Accounts Payable,0,1,50000.00,25000.00,30000.00,55000.00,USD
5100,Trade Payables,5000,2,40000.00,20000.00,25000.00,45000.00,USD
6000,Revenue,0,1,145000.00,8000.00,180000.00,317000.00,USD
7000,Cost of Goods Sold,0,1,78000.00,95000.00,3000.00,170000.00,USD
8000,Operating Expenses,0,1,44000.00,55000.00,2000.00,97000.00,USD
8100,Salaries and Wages,8000,2,25000.00,30000.00,1000.00,54000.00,USD



